"Contact.rate","Probability.of..infection","Rate.of..recovery","Rate.of..re.infection","Population.size","Neighbourhood"
0.614882494445838,0.198865719599121,0.178878136005625,2.19747756878828,1000,"eight-neighbours"
0.522346877342206,0.331920857415933,0.431387915097398,2.17085951457365,1000,"eight-neighbours"
0.503630972360121,0.189084160124026,0.379981763809908,2.15936740977537,1000,"eight-neighbours"
0.482044989851033,0.295565896962687,0.189547690697518,2.17948433203571,1000,"eight-neighbours"
0.598106968409829,0.19722827202636,0.289257384177314,2.14150716219993,1000,"eight-neighbours"
0.565629527389327,0.204474968087886,0.316082859367436,2.14084164000341,1000,"eight-neighbours"
0.470638840220133,0.365404953403634,0.391107465655649,1.8631616055979,1000,"eight-neighbours"
0.330564980591652,0.400379771802024,0.310740219560458,2.16274020274727,1000,"eight-neighbours"
0.540438602127166,0.183152332142811,0.286498729064745,2.2725599550483,1000,"eight-neighbours"
0.648229798675068,0.190904810403531,0.121592583634941,2.28564811740856,1000,"eight-neighbours"
0.427890110279269,0.432351185549234,0.22952363524935,2.02669744802393,1000,"four-neighbours"
0.249999999999968,0.462499999999961,0.362500000000052,2.06249999999993,1000,"four-neighbours"
0.240179048089271,0.39773158031606,0.419519024734623,1.9275664693055,1000,"four-neighbours"
0.263485074643758,0.428859007596489,0.441412682594065,1.94847468823013,1000,"four-neighbours"
0.321710986569082,0.43438618882689,0.176031042813198,2.154110686197,1000,"four-neighbours"
0.378298957941213,0.407164624937996,0.332818655045467,2.07496037237674,1000,"four-neighbours"
0.312499999993995,0.503125000022587,0.32812499999464,2.02812499997641,1000,"four-neighbours"
0.249465444382446,0.545368024489656,0.30693216900966,2.0284925983,1000,"four-neighbours"
0.337362659733317,0.415108850718174,0.370607643270632,2.00756060821296,1000,"four-neighbours"
0.266769515337511,0.460393150418604,0.250873782398183,2.1277987550156,1000,"four-neighbours"
0.0469703986279884,0.605175859389295,0.39852399061371,1.95754841718015,1000,"no-neighbours"
0.112702584650141,0.908717905123342,0.546295071307854,1.67032354661577,1000,"no-neighbours"
0.0929944621620198,0.719431778580196,0.400273768273628,1.94458086549971,1000,"no-neighbours"
0.0547027394748405,0.621204949060496,0.41025998334295,1.99218955804921,1000,"no-neighbours"
0.0506262531860777,0.772334566263427,0.304117320854169,1.95598113427728,1000,"no-neighbours"
0.0296672850854852,0.622703905406884,0.319785477221235,2.0292236968871,1000,"no-neighbours"
0.0422122881423072,0.666991723953394,0.4127612015038,1.8804238295004,1000,"no-neighbours"
0.0465592639147791,0.589983417968396,0.394385786321261,1.96006483359262,1000,"no-neighbours"
0.0326210366987176,0.608804111823025,0.180796814972073,2.12068259139685,1000,"no-neighbours"
0.051372575440258,0.772980033649718,0.209638817452374,1.93322436953781,1000,"no-neighbours"
0.612432390621292,0.372782576908672,0.000634911192438012,2.32747507325156,2000,"eight-neighbours"
0.50341193172888,0.401798029015281,0.293681936297362,2.00499080630934,2000,"eight-neighbours"
0.647964868671023,0.405318809965694,0.000602881098800033,2.12022179487568,2000,"eight-neighbours"
0.616248944796848,0.362105004458469,0.010915136351888,2.06157151036274,2000,"eight-neighbours"
0.480933830943104,0.382568398097646,0.299451141068857,2.04644735721886,2000,"eight-neighbours"
0.639215642996714,0.326837494912783,0.0018072196276683,2.16116273426795,2000,"eight-neighbours"
0.491082166017913,0.339097780430937,0.233999673884666,2.07719279807395,2000,"eight-neighbours"
0.485841502525247,0.340583278214872,0.00418292100771034,2.27152692528701,2000,"eight-neighbours"
0.609195365529045,0.335717818226178,0.0018583329305941,2.36570263005365,2000,"eight-neighbours"
0.458715854193254,0.299049356540793,0.431175836610923,2.13630686175784,2000,"eight-neighbours"
0.631298962956367,0.194045538451275,0.191245316184298,2.22616505944566,2000,"four-neighbours"
0.581457812833333,0.200590816329232,0.279672804241763,2.23575853981002,2000,"four-neighbours"
0.605795450373766,0.188756166861079,0.177247226526659,2.27783631408408,2000,"four-neighbours"
0.555121936316257,0.184709229850247,0.275099738518457,2.21345815188464,2000,"four-neighbours"
0.558592969307593,0.183078893852343,0.272392379334281,2.2514954092823,2000,"four-neighbours"
0.620818929760582,0.199213572533218,0.236078484062819,2.19587422543305,2000,"four-neighbours"
0.585912281225807,0.202846953137602,0.277745503215129,2.16456328336229,2000,"four-neighbours"
0.55180661336437,0.195307355840178,0.216730775017215,2.23285670837478,2000,"four-neighbours"
0.590318478091027,0.170703741798957,0.242959622949338,2.082771336324,2000,"four-neighbours"
0.595678299854262,0.181621132199507,0.219392819904533,2.17357111454148,2000,"four-neighbours"
0.0747524477541303,0.689616635746503,0.365995975447822,1.96669006314824,2000,"no-neighbours"
0.0810019094199799,0.66734497015414,0.263117169911639,1.97903697394749,2000,"no-neighbours"
0.0701567027167603,0.62639320417352,0.541088056328424,1.94171925810452,2000,"no-neighbours"
0.0687953944116243,0.733211330938402,0.379371451713085,1.95349063629564,2000,"no-neighbours"
0.0829363733604809,0.679149820526645,0.442597496250168,1.96184004950446,2000,"no-neighbours"
0.0395272269676137,0.660388166109706,0.301973356916225,2.06918047674312,2000,"no-neighbours"
0.0766290664672852,0.630800724029541,0.397534275054932,1.95586233139038,2000,"no-neighbours"
0.0852551030399458,0.58878655013788,0.404432647280282,1.97443908405028,2000,"no-neighbours"
0.0857776688129837,0.715203869813444,0.335790318453444,1.92085379451677,2000,"no-neighbours"
0.103125,0.6953125,0.3140625,1.9671875,2000,"no-neighbours"
0.617315484359472,0.354485178596135,0.00294368048637781,2.0771341010883,3000,"eight-neighbours"
0.683979929590518,0.421366726343017,0.00173315792829034,2.43342113966656,3000,"eight-neighbours"
0.678914513569764,0.287584179651509,0.00193744072554234,2.25778848905831,3000,"eight-neighbours"
0.627665798364014,0.302236533807171,0.00868431336014825,2.50040609834226,3000,"eight-neighbours"
0.650227434723962,0.161915228711268,0.0022736872996504,2.42644019370997,3000,"eight-neighbours"
1.3287418683217,0.164642097334045,0.00327761122766467,2.11293513063329,3000,"eight-neighbours"
0.660286127642841,0.338088287817571,0.000612628079189185,2.18539595165178,3000,"eight-neighbours"
0.766625214115069,0.225231101274152,0.000673905692913827,2.43394800990053,3000,"eight-neighbours"
0.703572169720723,0.279826645303807,5.73201122673369e-05,2.45963710910862,3000,"eight-neighbours"
1.27341852985896,0.206842288777007,0.000676767972016317,2.59714607271365,3000,"eight-neighbours"
0.533035725445303,0.212451656640284,0.243871592439302,2.21470567476267,3000,"four-neighbours"
0.537147791264557,0.244184753578127,0.283270545350352,2.15103826294644,3000,"four-neighbours"
0.605449920396666,0.181090383049765,0.0886829701994908,2.34688856126587,3000,"four-neighbours"
0.502531640022361,0.204053083436394,0.431586724201021,2.08513376073156,3000,"four-neighbours"
0.527224385364754,0.227518137543027,0.364556418004461,2.10238855740448,3000,"four-neighbours"
0.661824040145388,0.175435713805602,0.0695732693945368,2.34268285805911,3000,"four-neighbours"
0.723927976641543,0.232610944328353,0.128003600156056,2.29104772159348,3000,"four-neighbours"
0.556877717699919,0.25858037531998,0.381084527867013,2.05040748197742,3000,"four-neighbours"
0.679822677002258,0.19670853218037,0.0876015892610874,2.35812007463166,3000,"four-neighbours"
0.496247327339188,0.263570441647244,0.3197738821842,2.10128381590894,3000,"four-neighbours"
0.116853104287467,0.625872689412437,0.339947452013207,2.00699668438342,3000,"no-neighbours"
0.140625001383604,0.639062503187389,0.295312496244718,1.97343749602403,3000,"no-neighbours"
0.104733821618742,0.651639171396397,0.312643898900446,1.96266203300054,3000,"no-neighbours"
0.127316079077424,0.618414836726151,0.288476243394531,2.05537524832521,3000,"no-neighbours"
0.120896562783554,0.612804862050246,0.34532643478874,1.98091708178964,3000,"no-neighbours"
0.140168848808389,0.589988844207255,0.287090426118812,1.98375333401491,3000,"no-neighbours"
0.0373526178673571,0.674510266779109,0.339837754248846,2.01958431569929,3000,"no-neighbours"
0.0992416446742767,0.50348807398914,0.405996762502212,2.10063551242652,3000,"no-neighbours"
0.170993929728866,0.708319011889398,0.283528321795166,1.83980206344277,3000,"no-neighbours"
0.106880187988281,0.483966827392578,0.524668121337891,2.04333419799805,3000,"no-neighbours"
0.753048109826584,0.221128374963717,0.000538177599697891,2.88044846943579,4000,"eight-neighbours"
1.21060838326874,0.209488022634574,0.00225302689522236,2.58385651231449,4000,"eight-neighbours"
0.679606163670494,0.355877274425773,0.0119063933507804,2.15972558678993,4000,"eight-neighbours"
0.518755543231964,0.307277798652649,0.374563562870026,2.09736005067825,4000,"eight-neighbours"
0.561303556724898,0.310676229942164,0.00287256819503372,2.25754352672355,4000,"eight-neighbours"
0.923464703446155,0.377748645823663,0.00142516935779764,2.49510964963357,4000,"eight-neighbours"
0.832749531021616,0.255088204979831,0.00139379278380944,2.35925625390063,4000,"eight-neighbours"
0.642686687488236,0.321776078940391,0.00179606068684101,2.26006955316702,4000,"eight-neighbours"
0.997116697312847,0.216965113140118,0.000215301275080028,2.62931938294258,4000,"eight-neighbours"
0.795781587893298,0.471731945801643,0.288516382536346,2.27019419707565,4000,"eight-neighbours"
0.570468837687957,0.299941386670267,0.0407915777227711,2.15501758047996,4000,"four-neighbours"
0.637589197088972,0.293529599977303,0.00383622034704272,2.08856070005983,4000,"four-neighbours"
0.474865556681566,0.368616175093457,0.00253559521801413,2.25258847965534,4000,"four-neighbours"
0.538928110922925,0.450185408635255,0.316349249614346,2.13564462809397,4000,"four-neighbours"
0.573323450982571,0.303432530164719,0.37684341520071,2.09250250905752,4000,"four-neighbours"
0.899507827669389,0.418418672812851,0.0013030642593059,2.12809329133104,4000,"four-neighbours"
0.534286122240928,0.470695305479787,0.00484183684255312,2.23481470622982,4000,"four-neighbours"
0.523645973204893,0.420652008055413,0.226487159731238,2.02442722320373,4000,"four-neighbours"
0.492191957456428,0.296530930057079,0.393399497082837,2.14265107366547,4000,"four-neighbours"
0.600153174302595,0.336193255686695,0.00313262357699322,2.34014685451983,4000,"four-neighbours"
0.360073238452835,0.387120512656785,0.344286294291408,2.10511747563434,4000,"no-neighbours"
0.363164531439616,0.387264576554351,0.35816146060826,2.06878358051176,4000,"no-neighbours"
0.337060517559437,0.415555975284896,0.278671820266915,2.17078979382511,4000,"no-neighbours"
0.345559260558726,0.414539251216927,0.358071198518922,2.11315300081814,4000,"no-neighbours"
0.362806592013134,0.386380030832041,0.409793041390084,2.04998177273059,4000,"no-neighbours"
0.376712908092898,0.377770865740402,0.381797508675644,2.09575367180136,4000,"no-neighbours"
0.350399244334513,0.376286677013828,0.354202725373693,2.08121973590105,4000,"no-neighbours"
0.429954020807251,0.40924716065608,0.324677751688707,2.08738172261443,4000,"no-neighbours"
0.353279330905269,0.381817480196993,0.366217023361724,2.07909226462016,4000,"no-neighbours"
0.317488071906985,0.395372942475916,0.379822362774054,2.12426763752756,4000,"no-neighbours"
0.410664314748769,0.35777974613547,0.410904449582775,2.07781693260519,500,"eight-neighbours"
0.377672625391642,0.464806573870688,0.444379616357803,2.03642643649445,500,"eight-neighbours"
0.299999763193436,0.399997719095175,0.350002766202357,2.09999769688748,500,"eight-neighbours"
0.390804364515287,0.459856341087592,0.435165021458281,2.04640781732726,500,"eight-neighbours"
0.376012692368866,0.433506608132741,0.372781188677118,2.00673739351165,500,"eight-neighbours"
0.327894547418852,0.412747308509095,0.248305648258276,2.05877961761303,500,"eight-neighbours"
0.275815078811321,0.4666854286212,0.331476898854223,1.9718566058374,500,"eight-neighbours"
0.340733019262552,0.414899721741676,0.330168572813273,2.17407821789384,500,"eight-neighbours"
0.353276434801918,0.421085261434616,0.225223246578713,2.10023500446132,500,"eight-neighbours"
0.281061512271994,0.501785305876363,0.249448634746525,2.06821174469101,500,"eight-neighbours"
0.168440265980989,0.682251741335657,0.243827041354668,1.96687545866427,500,"four-neighbours"
0.0929469524457903,0.520600707785571,0.36256414431991,2.13690607493,500,"four-neighbours"
0.10675127239124,0.57758150642446,0.374936566002646,1.96784315733585,500,"four-neighbours"
0.0668335788336392,0.622095539132926,0.357643603803874,2.01022503380128,500,"four-neighbours"
0.10984452470778,0.563347487363437,0.368848467659649,2.05448024828944,500,"four-neighbours"
0.105729910731316,0.62143576592207,0.436525742709637,1.73925829082727,500,"four-neighbours"
0.105264289998712,0.685944428553721,0.332560345943374,1.94377275764615,500,"four-neighbours"
0.133179777559619,0.662348333872259,0.468357987536656,1.92643406038351,500,"four-neighbours"
0.0634687505842932,0.724050065018827,0.417356115053137,1.96339051639103,500,"four-neighbours"
0.088916015625,0.5771728515625,0.3643798828125,2.0460693359375,500,"four-neighbours"
0.081527514906611,0.613276075221028,0.478189209537732,1.97916062246263,500,"no-neighbours"
0.0569018159148981,0.610598239103274,0.344651595117466,2.06946289493499,500,"no-neighbours"
0.0571807179590299,0.634308368900688,0.546332226164766,1.96019133386245,500,"no-neighbours"
0.0310804395703599,0.536533505644183,0.242330808320549,2.0270473246579,500,"no-neighbours"
0.0342320745382295,0.542333708533367,0.345039787561506,2.08075177541596,500,"no-neighbours"
0.0531593799591031,0.664679265022277,0.56849434375763,1.95715091228485,500,"no-neighbours"
0.0933675970705088,0.794673466168564,0.20338531613998,1.88705449654373,500,"no-neighbours"
0.0570257817854948,0.790508103513609,0.224642595326487,2.02942945922057,500,"no-neighbours"
0.0606448700681238,0.758944100862729,0.17591349824858,1.92120042914714,500,"no-neighbours"
0.0804790723754446,0.653521898330245,0.421123764046663,2.03728466344331,500,"no-neighbours"
0.896953299200991,0.284485609457731,0.000175153901771592,2.37078188729477,5000,"eight-neighbours"
0.620988904748533,0.307797118420499,0.00113136834215372,2.32171287934799,5000,"eight-neighbours"
1.28780255290028,0.417756655800969,0.000366411086049536,3.01299605534184,5000,"eight-neighbours"
0.747944374232586,0.289711987534682,0.000794693939784122,2.34256944225466,5000,"eight-neighbours"
0.998260682597276,0.42836151437347,0.00151655777546105,2.485425030617,5000,"eight-neighbours"
0.735417597719608,0.215582244233694,0.000275977155323438,3.40610208113661,5000,"eight-neighbours"
1.01876945424447,0.248529398969048,0.00252612517310338,3.1700620406448,5000,"eight-neighbours"
0.767213879702346,0.195655539366679,0.00182725048383362,2.35874443940734,5000,"eight-neighbours"
0.603252469157252,0.281419286394323,0.00263312803816796,2.43513789581869,5000,"eight-neighbours"
0.765698313010285,0.201131752321363,0.000488428778430921,3.8449009683287,5000,"eight-neighbours"
0.497252253379904,0.351562996274482,0.00712374623706243,2.15108541831165,5000,"four-neighbours"
0.556559219561042,0.314364256273641,0.000516460701998449,2.04553527403032,5000,"four-neighbours"
0.67701950007862,0.283594779157845,0.000367047947481264,2.26668970276594,5000,"four-neighbours"
0.576306222780333,0.373153931895965,0.000166000333801352,2.3098249474167,5000,"four-neighbours"
0.559303093583705,0.382039641998628,0.321311758280203,2.15807628788925,5000,"four-neighbours"
1.31821767712144,0.184750835240185,5.64170494953645e-05,2.34898633219823,5000,"four-neighbours"
0.534054392531895,0.308639790194431,0.000760015215410255,2.35808947461545,5000,"four-neighbours"
0.734738096673747,0.32566831993771,0.000750527032692557,2.18977630124875,5000,"four-neighbours"
0.546056105263475,0.299353887479485,0.000986917616636256,2.19711835371923,5000,"four-neighbours"
0.437853369705583,0.346018827386905,0.271365011799652,2.13714933145605,5000,"four-neighbours"
0.466201839056354,0.267620938983387,0.369480347313813,2.12559651809174,5000,"no-neighbours"
0.447587603836883,0.25335875429455,0.511242884528156,2.05548344862314,5000,"no-neighbours"
0.456091785977112,0.262004830659191,0.324878908917225,2.12145069477598,5000,"no-neighbours"
0.445456290184412,0.261830417374898,0.322695090588934,2.15982240668805,5000,"no-neighbours"
0.452875911461676,0.265094826247827,0.370380336391623,2.09951776767689,5000,"no-neighbours"
0.456821103636561,0.28770097143103,0.403745395145634,2.14461907501077,5000,"no-neighbours"
0.440198263331152,0.286622360625201,0.373483216684384,2.16694093448754,5000,"no-neighbours"
0.458728850179131,0.272731964938198,0.378311908137458,2.13986110666865,5000,"no-neighbours"
0.45725626363419,0.270899879839271,0.380518529145047,2.12981487377547,5000,"no-neighbours"
0.458790076342803,0.27585284222201,0.402418561086212,2.12128122083578,5000,"no-neighbours"
